Name,Latitude,Longitude,Providerprice1,neighborhood
Living Hotel Weißensee by Derag,52.55447006,13.45698738,85.33,unknown
Mercure Hotel Berlin City West,52.53577423,13.27304363,85.1664,unknown
Hotel City Green Berlin,52.41333389,13.56943893,85.12,unknown
Hotel-Pension Michele,52.49721146,13.35404968,83.2,unknown
B&B Hotel Berlin Alexanderplatz,52.51730728,13.41530704,81.76,unknown
Ibis Berlin City Potsdamer Platz,52.50472641,13.38411713,81.1849,unknown
Hotel Schoeneberg,52.48501587,13.3546133,81.07,Rote Insel
NH Berlin Potsdamer Platz,52.50173569,13.38572121,80.92,unknown
ibis Berlin Spandau Hotel,52.53321838,13.19820786,80.4823,unknown
Hotel Atlas Berlin,52.47830963,13.33061028,80.05,unknown
Come Inn Berlin Kurfurstendamm Opera,52.50029755,13.31221962,79.61,unknown
Ibis Berlin Mitte,52.52894211,13.41818523,79.5241,Kollwitzkiez
ibis Berlin City Süd,52.46097946,13.44442844,78.93,unknown
Ibis Styles Berlin City Ost,52.51280975,13.46634388,77.87,Samariterviertel
Ibis Berlin Ostbahnhof,52.50996017,13.42975998,77.6078,unknown
MEININGER Hotel Berlin Airport,52.39673233,13.54053688,77.33,unknown
fjord hotel berlin,52.50333405,13.37038326,77.28,unknown
Die Botschaft,52.48408127,13.52577972,77.07,unknown
DORMERO Hotel Berlin Ku'damm,52.50070953,13.33379745,77.07,unknown
Best Western Plus Plaza Berlin Kurfuerstendamm,52.50186539,13.32244301,76.8,unknown
Hotel ibis Berlin City Nord,52.57459259,13.35832214,76.6498,unknown
Hotel Mit-Mensch,52.48160934,13.51707554,76.61,Prinzenviertel
Hotel Ibis Berlin Hauptbahnhof,52.5268631,13.36970901,75.84,unknown
Hotel NOVA,52.50941849,13.49794865,75.73,unknown
ibis Berlin Messe,52.50667191,13.28034019,75.6916,unknown
Ibis Styles Berlin Mitte,52.53006744,13.40110302,75.6916,Spandauer Vorstadt
Ibis Berlin City West,52.48897552,13.31631947,75.6916,unknown
AZIMUT Hotel Kurfuerstendamm Berlin,52.50469589,13.33197212,75.09,unknown
ibis Berlin Kurfuerstendamm Hotel,52.50251007,13.34443092,74.7335,unknown
Art-Hotel Charlottenburger Hof,52.50540161,13.30176258,73.42,unknown
CALMA Berlin Mitte,52.52640533,13.39002419,72.8,Spandauer Vorstadt
Huttenpalast,52.48928833,13.42591381,72.8,Reuterkiez
Select Hotel Checkpoint Charlie Berlin,52.50316238,13.38928795,72.3915,unknown
B&B Hotel Berlin-Tiergarten,52.51429749,13.33113194,71.68,unknown
MEININGER Hotel Berlin Alexanderplatz,52.53294373,13.41296196,70.93,Kollwitzkiez
Hotel Luetzow,52.50611115,13.34793854,70.4,Botschaftsviertel
Hotel Gat Point Charlie,52.50896835,13.3883009,66.53,unknown
ibis budget Berlin City Potsdamer Platz,52.50482559,13.38448334,66.334,unknown
Ibis Budget Berlin Alexanderplatz,52.52511978,13.4212389,66.1104,unknown
Motel Plus Berlin,52.46725082,13.43747139,66.08,unknown
Atrium Charlottenburg Hotel,52.50600052,13.3024168,64.76,unknown
Hotel Abendstern,52.50572586,13.30427265,64.32,unknown
Leonardo Hotel Berlin KU'DAMM,52.50260925,13.32384396,63.5,unknown
Upper Room Hotel,52.50340271,13.33429432,58.67,unknown
Ibis Budget Berlin Kurfurstendamm,52.50283813,13.3445158,58.4135,unknown
Meininger Hotel Berlin Hauptbahnhof,52.52419281,13.3685379,57.07,unknown
Hotel Ambiente Berlin City,52.49646378,13.34790134,55.73,unknown
Atrium Hotel Berlin,52.49348068,13.3351717,53.59,unknown
Hotel de Rome,52.51576233,13.39402294,,unknown
"The Ritz-Carlton, Berlin",52.51013184,13.37541962,,unknown
Schlosshotel Berlin by Patrick Hellmann,52.48011017,13.27421379,,unknown
"Hotel Luc, Autograph Collection",52.51448822,13.39090729,,unknown
The Mandala Hotel,52.50901413,13.37355804,,unknown
The Westin Grand Berlin,52.51578903,13.38884926,,unknown
Berlin Marriott Hotel,52.5108757,13.37637615,,unknown
Hotel Palace Berlin,52.50496292,13.33863831,,unknown
"Hotel am Steinplatz, Autograph Collection",52.50805664,13.3263464,,unknown
Casa Camper Berlin,52.52577972,13.40405273,,Scheunenviertel
Hotel Zoo Berlin,52.50362396,13.32909489,,unknown
Wilde Aparthotels by Staycity - Checkpoint Charlie Berlin,52.50758362,13.38754559,,unknown
Centrovital Hotel Berlin,52.54677582,13.21070957,,unknown
Dorint Kurfürstendamm Berlin,52.50262833,13.33197975,,unknown
Hampton by Hilton Berlin City East Side Gallery,52.50492096,13.44100571,,unknown
Titanic Gendarmenmarkt Berlin,52.5151825,13.39465141,,unknown
Lindner Hotel Am Ku'damm,52.50390625,13.32973576,,unknown
Provocateur Berlin,52.4944458,13.30947971,,unknown
numa l Belfort Rooms & Apartments,52.53248978,13.41879654,,Kollwitzkiez
Adina Apartment Hotel Berlin Checkpoint Charlie,52.50978088,13.39747334,,unknown
The Weinmeister,52.52561951,13.40438271,,Scheunenviertel
ARCOTEL John F Berlin,52.51527786,13.39777279,,unknown
New Berlin,52.52445221,13.44845963,,Hausburgviertel
Feng Shui Hotel Melarose,52.53395844,13.43029308,,Winsviertel
AMERON Berlin ABION Spreebogen Waterside,52.52285385,13.34609413,,unknown
Estrel Berlin,52.47354507,13.45913124,,Weiße Siedlung
Klassik Hotel,52.50849915,13.45129585,,unknown
Seminaris CampusHotel Berlin,52.45708466,13.29363632,,unknown
Titanic Chausse Berlin,52.53222275,13.38100338,,unknown
Ku' Damm 101,52.4983902,13.29625607,,unknown
"Holiday Inn Express Berlin - Alexanderplatz, an IHG Hotel",52.51572418,13.41209316,,unknown
H4 Hotel Berlin Alexanderplatz,52.52542877,13.41464424,,unknown
Hotel Helle Mitte,52.53751373,13.60380077,,unknown
Air in Berlin Hotel,52.50424576,13.34191608,,unknown
Adele Designhotel Berlin,52.52972031,13.42500019,,Winsviertel
City Hotel Am Kurfurstendamm,52.5001297,13.30962753,,unknown
Quentin XL Potsdamer Platz,52.50405121,13.366189,,unknown
Titanic Comfort Mitte,52.51019669,13.40411282,,Luisenstadt
Hotel ZOE by AMANO,52.52305222,13.40102482,,Spandauer Vorstadt
Hotel AMANO East Side,52.5096283,13.43117046,,unknown
Hotel AMANO Grand Central,52.52717209,13.37035847,,unknown
numa I Arc Rooms & Apartments,52.50471115,13.39121723,,unknown
Hotel MANI by AMANO,52.52933502,13.39967918,,Spandauer Vorstadt
Lux 11,52.5245018,13.40981579,,Scheunenviertel
Eurostars Berlin Hotel,52.52033234,13.38952446,,Spandauer Vorstadt
"Hotel Indigo Berlin - East Side Gallery, an IHG hotel",52.5047493,13.44173336,,unknown
"Crowne Plaza Berlin City Centre Ku'Damm, an IHG Hotel",52.50392151,13.34052181,,unknown
Aspria Berlin Ku'damm,52.50056839,13.2944088,,unknown
Courtyard by Marriott Berlin City Center,52.50972748,13.39993572,,unknown
NH Collection Berlin Friedrichstrasse,52.51964188,13.38873768,,unknown
Motel One Berlin-Alexanderplatz,52.51964569,13.41228485,,unknown
Motel One Berlin-Hackescher Markt,52.52310562,13.40869999,,Spandauer Vorstadt
"Hotel Berlin, Berlin",52.50392914,13.35186958,,Botschaftsviertel
Adina Apartment Hotel Berlin Hackescher Markt,52.52227783,13.40410137,,Spandauer Vorstadt
Relexa Hotel Stuttgarter Hof,52.50493622,13.38498783,,unknown
Adina Apartment Hotel Berlin Mitte,52.52840042,13.37800789,,unknown
"Crowne Plaza Berlin - Potsdamer Platz, an IHG Hotel",52.50164032,13.38263226,,unknown
Park Inn by Radisson Berlin Alexanderplatz Hotel,52.52296448,13.41304588,,unknown
Scandic Berlin Kurfurstendamm,52.50011444,13.33830738,,unknown
The Circus Hostel,52.53012085,13.40168285,,Spandauer Vorstadt
H2 Hotel Berlin Alexanderplatz,52.52519608,13.41430855,,unknown
Select Hotel Spiegelturm Berlin,52.53253174,13.2101469,,unknown
H10 Berlin Ku'damm,52.50201035,13.33133984,,unknown
Pestana Berlin Tiergarten,52.50838852,13.34876537,,Botschaftsviertel
Alex Hotel,52.52863312,13.42473984,,Winsviertel
Kiez Hostel Berlin,52.5097847,13.44750881,,unknown
"Holiday Inn Berlin - City East Side, an IHG hotel",52.50484467,13.4445076,,unknown
nhow Berlin,52.50121689,13.45071125,,unknown
Victor's Residenz Hotel Berlin,52.52888489,13.42920303,,Bötzowkiez
Monbijou Hotel,52.52306366,13.40011883,,Spandauer Vorstadt
Singer109 Backpacker Apartment Hostel,52.51670456,13.42557907,,unknown
Ludwig Van Beethoven Hotel,52.48774338,13.42088985,,unknown
Mondrian Suites Berlin,52.50622177,13.39540291,,unknown
Hotel Riu Plaza Berlin,52.50040817,13.34652042,,unknown
AMANO Home,52.52850342,13.40951443,,Scheunenviertel
limehome Berlin Prenzlauer Allee,52.53026962,13.41849518,,Winsviertel
NH Berlin Kurfurstendamm,52.50399017,13.32419968,,unknown
Moxy Berlin Ostbahnhof,52.51095963,13.43029976,,unknown
the niu Dwarf,52.47859955,13.35352993,,Rote Insel
IntercityHotel Berlin Hauptbahnhof,52.52363968,13.36689472,,unknown
Hyperion Hotel Berlin,52.49376678,13.3332901,,unknown
Leonardo Hotel Berlin Mitte,52.52274323,13.38610363,,unknown
Novum Hotel City B,52.49763489,13.36221218,,unknown
Leonardo Royal Hotel Berlin Alexanderplatz,52.52722168,13.42348003,,Barnimkiez
Hotel Goldmarie,52.50935364,13.45167828,,unknown
Schulz Hotel Berlin Wall,52.50841141,13.43427944,,unknown
Catalonia Berlin Mitte,52.51118088,13.41589642,,Luisenstadt
numa l Sketch Rooms & Apartments,52.51176453,13.45587158,,Samariterviertel
Hotel-Pension Cortina,52.50587082,13.31910324,,unknown
Best Western Hotel Am Spittelmarkt,52.51009369,13.4052887,,Luisenstadt
Best Western Hotel Berlin-Mitte,52.52367401,13.38379383,,unknown
TWO Hotel Berlin by Axel,52.49035263,13.3306427,,unknown
Novum Hotel Kronprinz Berlin,52.49729919,13.28714848,,unknown
SORAT Hotel Berlin,52.5033989,13.34432602,,unknown
NH Berlin City Ost,52.51359558,13.48193645,,unknown
"Holiday Inn Express Berlin City Centre, an IHG Hotel",52.50190353,13.38524914,,unknown
Victor's Residenz-Hotel Berlin-Tegel,52.56232071,13.35484219,,unknown
Good Morning + Berlin City East,52.52204132,13.48512936,,unknown
aletto Hotel Potsdamer Platz,52.50005722,13.37598991,,unknown
IntercityHotel Berlin Ostbahnhof,52.51015472,13.43348503,,unknown
Novum Hotel Aldea Berlin Centrum,52.49791336,13.36040974,,unknown
Leonardo Hotel Berlin,52.51273727,13.30468178,,unknown
Comfort Hotel Lichtenberg,52.53360748,13.51791954,,unknown
Pension ABC,52.49944305,13.3653574,,unknown
City Hotel Berlin East,52.53358078,13.47774506,,Fennpfuhl
St. Christopher's Inn Berlin,52.52680588,13.41078091,,Scheunenviertel
The Social Hub Berlin,52.5176506,13.41828346,,unknown
aletto Hotel Kudamm,52.50647736,13.3296423,,unknown
Hostel 199,52.53063965,13.44365025,,Grüne Stadt
Hotel Romy By Amano,52.52708817,13.37042046,,unknown
Hotel Bleibtreu Berlin by Golden Tulip,52.50017166,13.31940746,,unknown
Hotel Amano,52.52823639,13.40270233,,Scheunenviertel
Arte Luise Kunsthotel,52.52168655,13.37951279,,unknown
Alper Hotel am Potsdamer Platz,52.50344467,13.36586094,,unknown
LINDEMANN'S,52.49371338,13.36133099,,unknown
Generator Berlin Prenzlauer Berg,52.52967453,13.45556259,,Blumenviertel
Europa City Hotel,52.49781799,13.31196213,,unknown
a&o Berlin Mitte,52.50876236,13.42423916,,Luisenstadt
12 Monkeys Hostel Alexanderplatz,52.53170013,13.42835045,,Winsviertel
1st Floor Hostel,52.50468063,13.46914959,,unknown
1stfloor Hostel Berlin,52.50468063,13.46914959,,unknown
2 Independent Luxury Lofts Side by Side,52.53138733,13.37561035,,unknown
21apart Space Mitte Spree,52.52283859,13.38685989,,unknown
2A Hostel,52.46976471,13.44401646,,Richardkiez
36 Rooms Hostel,52.49839783,13.43124962,,Luisenstadt
6rooms,52.52085876,13.32040977,,unknown
A I Hotel Koenigshof,52.50559235,13.30458832,,unknown
A&B Apartment & Boardinghouse,52.49464798,13.43841267,,Luisenstadt
A&B Apartment & Boardinghouse Berlin,52.50260925,13.38864994,,unknown
a&o Berlin Central Station,52.52910614,13.36367989,,unknown
a&o Berlin Friedrichshain,52.50705338,13.46908092,,unknown
a&o Berlin Kolumbus,52.53920746,13.49824429,,unknown
A25 Hotel,52.5138588,13.59084797,,unknown
A25Hotel,52.61024475,13.47448254,,unknown
AapHotel,52.52515411,13.53031731,,Friedrichsfelde Ost
ABACUS Tierpark Hotel,52.50039291,13.520751,,unknown
Abba Berlin Hotel,52.49969482,13.32143402,,unknown
ABM Berlin,52.51115036,13.39517975,,unknown
about:berlin Hotel,52.50367737,13.33882427,,unknown
AC Hotel by Marriott Berlin Humboldthain Park,52.54947281,13.38417435,,unknown
Acama Kreuzberg Hotel+Hostel,52.49813461,13.3865509,,unknown
Acama Schöneberg Hotel+Hostel,52.48949814,13.34697628,,unknown
Accordo Hotel Apartmenthaus,52.51858902,13.49777031,,unknown
Ackselhaus,52.532444,13.41878891,,Kollwitzkiez
acora Berlin Living the City,52.51986313,13.32621193,,unknown
Act of Balance Boardinghouse,52.49473953,13.43375015,,Luisenstadt
Adapt Apartments Berlin,52.4327507,13.53200531,,unknown
ADELANTE Boutique Hotel,52.52825928,13.39115238,,Spandauer Vorstadt
Adlernest Pension,52.41191101,13.57577038,,unknown
Aeronaut powered by Pearl 1 Living and Yachting Hospitality,52.48056793,13.42574024,,Schillerkiez
Aga's Hotel,52.5162468,13.51977062,,unknown
Airporthotel Berlin-Adlershof,52.43218613,13.53439713,,unknown
Akademie Hotel Berlin,52.57235336,13.39375877,,unknown
Alaska Hostel,52.51808167,13.2789402,,unknown
Albrechtshof Hotel & Resaturant,52.52212524,13.38440037,,unknown
Alcatraz Backpacker Hostel,52.54453278,13.41221142,,Gleimviertel
Alecsa Hotel am Olympiastadion,52.51066589,13.22109413,,unknown
Alex Suite Berlin,52.50133896,13.34965992,,unknown
Alexander Suite,52.52550125,13.4176302,,unknown
Alexanderplatz Apartments,52.52275085,13.41106319,,unknown
Alitania Apartments-Potsdamer Platz,52.50759888,13.37310982,,unknown
All In Hostel,52.51120377,13.45564842,,Samariterviertel
Allee Apartments,52.51752853,13.47008991,,Samariterviertel
Allee Apartments Prenzlauer Berg,52.56277084,13.41327,,unknown
Allee-Hotel Berlin,52.4864006,13.53489971,,unknown
All-In-One,52.49930954,13.40513992,,Luisenstadt
Almodovar Hotel,52.50881195,13.46629047,,unknown
Altstadt Spandau,52.53679276,13.20664787,,unknown
Am Buschkrugpark,52.45449448,13.45127964,,unknown
Am Olivaer Platz,52.50215149,13.31309414,,unknown
Amadeus am Kurfuerstendamm,52.50215149,13.30579853,,unknown
Amanda,52.59548569,13.34796619,,unknown
Amary City Residence,52.50979996,13.3012104,,unknown
Amaryl City-Hotel am Kurfuerstendamm,52.50011063,13.32415009,,unknown
Amaya Motel,52.46738052,13.44108009,,Richardkiez
AMBER ECONTEL HOTEL Berlin-Charlottenburg,52.52355957,13.30648994,,unknown
Ambiente Apart,52.53722,13.42241001,,Kollwitzkiez
AMC Apartments,52.50115585,13.33079815,,unknown
AMC Apartments - Bundesallee,52.49415588,13.33121586,,unknown
Amc Hotel - Schoneberg,52.49750137,13.33889961,,unknown
Amelie Messe ICC,52.51015091,13.28013039,,unknown
Ameron Berlin Villa Abion,52.52274323,13.34665585,,unknown
Ameron Boutique Hotel Villa Abion Berlin,52.52275085,13.34692001,,unknown
Amstel House Hostel,52.5283699,13.33679008,,unknown
Anna 1908,52.46537018,13.32623386,,unknown
Annabanana Hostel,52.54454041,13.41217995,,Gleimviertel
Ao Hostel Am Zoo,52.50598145,13.33181,,unknown
Apardo Hostel,52.46839142,13.38521004,,unknown
Aparion Berlin,52.42938232,13.30106068,,Schweizer Viertel
Aparion Berlin Family,52.42948151,13.30023956,,Schweizer Viertel
Aparotel Hotel,52.52613831,13.30095959,,unknown
Apart Hotel Stein,52.4137001,13.40202999,,unknown
Apartcity-Serviced Apartments Hotel,52.50989914,13.2761898,,unknown
Aparthotel Berlin Schonefeld,52.39884186,13.54080963,,unknown
Aparthotel Christie,52.50011826,13.35217857,,unknown
ApartHotel Landhaus Lichterfelde,52.43899155,13.30074024,,unknown
Aparthotel Obergfell,52.41107941,13.40275002,,unknown
Aparthotel Residenz 2000,52.44524002,13.29345036,,unknown
Aparthotel Thuringer Hof,52.48056793,13.43524361,,Donaukiez
Aparthotel Vega,52.50443649,13.32573318,,unknown
Apartment Absolut,52.51065063,13.40861034,,Luisenstadt
Apartment am Sony Center,52.50967026,13.37273979,,unknown
Apartment Charlottenburg,52.50500107,13.30053043,,unknown
Apartment Engel,52.50637817,13.41697979,,Luisenstadt
Apartment Hotel Dahlem,52.45370102,13.27295971,,unknown
Apartment Hotel Wittenau,52.60034561,13.3319397,,unknown
Apartment im Opernviertel,52.51343918,13.31250954,,unknown
Apartment in Friedrichshain,52.51414108,13.45890999,,Samariterviertel
Apartment Oldenburger Strasse,52.52920151,13.33615017,,unknown
Apartment Prenzlauer Berg Ii,52.53483963,13.42380047,,Winsviertel
Apartment Schmidt,52.48509979,13.42873478,,Flughafenkiez
Apartment Steglitz-Zehlendorf,52.43481827,13.30741024,,unknown
Apartment Warmbrunner,52.48580933,13.29514027,,unknown
Apartment Winsstr. 68,52.53200912,13.4233799,,Winsviertel
Apartmenthaus Berlin-Holiday,52.49478149,13.30465031,,unknown
Apartmenthaus Gruenes Berlin,52.4432106,13.55200005,,unknown
Apartmenthaus Petunie,52.43067932,13.49118996,,unknown
Apartmenthaus Sybille Hecke,52.51171875,13.29160976,,unknown
Apartmenthaus Tegel,52.59809113,13.27606964,,unknown
Apartmenthouse Berlin,52.49475098,13.43840408,,Luisenstadt
Apartments Am Alexanderplatz,52.5242691,13.41771984,,unknown
Apartments am Brandenburger Tor,52.51434708,13.38116741,,unknown
Apartments am Checkpoint Charlie,52.50820923,13.39196968,,unknown
Apartments Am Kurfurstendamm,52.50281906,13.31896973,,unknown
Apartments at Warschauer,52.51303101,13.45189953,,unknown
Apartments Central Berlin,52.49045944,13.33450031,,unknown
Apartments Dahlie & Nelke,52.44380951,13.30856991,,unknown
Apartments Elpilar Wedding,52.54896164,13.36849022,,Leopoldkiez
Apartments Friedrich,52.50782013,13.46708965,,unknown
Apartments im Szenebezirk von Prenzlauer Berg,52.54061127,13.41880035,,Helmholtzkiez
Apartments im Zentrum Berlin,52.52500916,13.38698006,,unknown
Apartments in Neukolln,52.47216034,13.44048023,,Richardkiez
Apartments in Wilmersdorf/ Schoneberg,52.47883987,13.33242035,,unknown
Apartments Maison Am Olivaer Platz,52.50220108,13.31285954,,unknown
Apartments Mitte Residence,52.51293945,13.40318012,,unknown
Apartments Mitte-Inn Berlin,52.52260971,13.38434982,,unknown
Apartments Nahe Hauptbahnhof,52.52442932,13.36983967,,unknown
Apartments Prens Berlin-Mitte,52.56061935,13.37617016,,unknown
Apartments Residenz Prenzelberg,52.53910828,13.40528965,,unknown
Apartments Rose & Sonnenblume,52.46405029,13.41761971,,unknown
Apartments Rosenthal Residence,52.52912903,13.40191746,,Spandauer Vorstadt
Apartments Rummelsburger Bucht Am Ostkreuz,52.50064087,13.47630978,,unknown
Apartments Schoneberg,52.46868896,13.3865099,,unknown
Apartments Tempelhof,52.44852066,13.3854599,,unknown
Apart-Pension Gilka,52.53707123,13.42854977,,Winsviertel
Apart-West,52.49554825,13.30478001,,unknown
Appartement Hackescher Markt,52.52270889,13.40122032,,Spandauer Vorstadt
Appartment Neue Schonhauser Strasse,52.52455902,13.40345001,,Scheunenviertel
Apple City Hotel,52.52682877,13.34117699,,unknown
Arabel Design Apartments,52.50195313,13.36494446,,Botschaftsviertel
Arcadia Hotel Berlin,52.51504898,13.46813011,,Samariterviertel
ARCOTEL Velvet,52.5259285,13.38832188,,unknown
Arcus Hotel,52.51697159,13.17576027,,unknown
Ariadna Apart Hotel,52.55109024,13.46407986,,unknown
Arktur City Hotel,52.51634979,13.31084156,,unknown
Armony Hotel & Business Center,52.50453949,13.42683983,,Luisenstadt
Art Apartments,52.53180695,13.38196754,,unknown
Arta Lenz Hotel,52.49900055,13.31056976,,unknown
art'appart - berlin suiten,52.50873184,13.30902004,,unknown
art'appart Kempinski Plaza,52.50362015,13.32567978,,unknown
ArtHotel Connection,52.49907684,13.34235382,,unknown
Artist Hotel-Pension Die Loge,52.52682114,13.38737011,,unknown
Arwobau,52.50114059,13.37786007,,unknown
AS Apartmenthaus,52.5527916,13.40876007,,Arnimkiez
Astrid Hotel am Kurfurstendamm,52.50222778,13.31954002,,unknown
Atel Atlanta Am Kurfurstendamm,52.50238037,13.32756996,,unknown
Avantgarde Hotel,52.50431061,13.33240986,,unknown
